--------function_ID = 24---------------------
-----------------------------------------------
Total Elapsed time: 1963.552192 seconds
Run: 1, Time: 129.822 s, Best fitness: 378.981155833
Run: 2, Time: 130.317 s, Best fitness: 376.095722699
Run: 3, Time: 129.500 s, Best fitness: 367.721141234
Run: 4, Time: 130.995 s, Best fitness: 374.061616552
Run: 5, Time: 130.374 s, Best fitness: 364.788704055
Run: 6, Time: 130.360 s, Best fitness: 369.049209749
Run: 7, Time: 131.111 s, Best fitness: 371.110600712
Run: 8, Time: 132.740 s, Best fitness: 375.640450956
Run: 9, Time: 131.251 s, Best fitness: 377.663137567
Run: 10, Time: 128.645 s, Best fitness: 372.448291221
Run: 11, Time: 131.003 s, Best fitness: 377.653668254
Run: 12, Time: 132.055 s, Best fitness: 367.033812107
Run: 13, Time: 130.873 s, Best fitness: 370.867791262
Run: 14, Time: 128.307 s, Best fitness: 375.571452190
Run: 15, Time: 125.528 s, Best fitness: 366.461480781
Total Elapsed time: 1963.552168 seconds
