--------function_ID = 26---------------------
-----------------------------------------------
Total Elapsed time: 3372.357085 seconds
Run: 1, Time: 219.074 s, Best fitness: 100.448957708
Run: 2, Time: 221.326 s, Best fitness: 100.401769141
Run: 3, Time: 220.602 s, Best fitness: 100.410136154
Run: 4, Time: 220.774 s, Best fitness: 100.497859116
Run: 5, Time: 221.003 s, Best fitness: 100.492369245
Run: 6, Time: 221.388 s, Best fitness: 100.428153823
Run: 7, Time: 223.704 s, Best fitness: 100.422648840
Run: 8, Time: 222.917 s, Best fitness: 100.453467196
Run: 9, Time: 221.532 s, Best fitness: 100.470630728
Run: 10, Time: 221.365 s, Best fitness: 100.391057882
Run: 11, Time: 223.029 s, Best fitness: 100.424886391
Run: 12, Time: 221.372 s, Best fitness: 100.476904772
Run: 13, Time: 221.710 s, Best fitness: 100.376236553
Run: 14, Time: 226.611 s, Best fitness: 100.424538942
Run: 15, Time: 232.472 s, Best fitness: 100.386067841
Total Elapsed time: 3372.348674 seconds
